"","countrycode","countryname","regioncode","coveragetype","year","datayear","datatype","isinterpolated","usemicrodata","ppp","povertyline","mean","headcount","povertygap","povertygapsq","watts","gini","median","mld","polarization","population","decile1","decile2","decile3","decile4","decile5","decile6","decile7","decile8","decile9","decile10"
"1","ALB","Albania","ECA","N",1996,1996,"consumption",0,1,58.16801,36.3,187.8427,0.9995166,0.8299788,0.6965511,1.890404,0.2701034,165.0867,0.1191043,NA,3.168033,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
"2","ALB","Albania","ECA","N",2002,2002,"consumption",0,1,58.16801,36.3,191.988,0.9984308,0.8269947,0.6968056,1.914814,0.3173898,158.363,0.1648116,NA,3.05101,0.03494,0.04859,0.05842,0.06738,0.07653,0.08839,0.1023,0.1198,0.1493,0.2544
"3","ALB","Albania","ECA","N",2005,2005,"consumption",0,1,58.16801,36.3,217.0335,0.9971866,0.8044614,0.6618199,1.781947,0.3059566,184.6848,0.1544128,NA,3.011487,0.03483,0.0492,0.05977,0.06921,0.07988,0.09037,0.1037,0.1213,0.1483,0.2434
"4","ALB","Albania","ECA","N",2008,2008,"consumption",0,1,58.16801,36.3,237.5353,0.9955003,0.7877929,0.6367974,1.687039,0.2998467,198.7757,0.1488934,NA,2.947314,0.03734,0.05137,0.06088,0.06984,0.07912,0.08924,0.103,0.1193,0.1454,0.2446
"5","ALB","Albania","ECA","N",2012,2012,"consumption",0,1,58.16801,36.3,225.2692,0.9988254,0.7965787,0.6480631,1.728365,0.2896048,195.0467,0.1384171,NA,2.900401,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
"6","ALB","Albania","ECA","N",2014,2014,"consumption",0,1,58.16801,36.3,240.0998,0.9975728,0.7829726,0.6345057,1.724758,0.345989,196.3965,0.1986616,NA,2.889104,0.02853,0.04174,0.05223,0.06312,0.07512,0.08933,0.1059,0.1272,0.1613,0.2554
"7","ALB","Albania","ECA","N",2015,2015,"consumption",0,1,58.16801,36.3,242.8672,0.9987028,0.7802049,0.6289498,1.691866,0.3291291,199.3308,0.1774243,NA,2.880703,0.03133,0.04524,0.05543,0.06559,0.07608,0.08893,0.1047,0.125,0.1587,0.2489
"8","ALB","Albania","ECA","N",2016,2016,"consumption",0,1,58.16801,36.3,247.6767,0.9987049,0.7761025,0.6239253,1.682624,0.3370824,203.5201,0.1876481,NA,2.876101,0.02962,0.04366,0.05427,0.06419,0.0754,0.08895,0.1053,0.1275,0.1608,0.2503
"9","ALB","Albania","ECA","N",2017,2017,"consumption",0,1,58.16801,36.3,245.9924,0.9980669,0.777733,0.6253867,1.683568,0.3317109,201.9203,0.1816586,NA,2.873457,0.03074,0.04445,0.05469,0.06499,0.07604,0.08907,0.1056,0.127,0.1597,0.2477
"10","DZA","Algeria","MNA","N",1988,1988,"consumption",0,0,31.77229,36.3,200.4312,0.9940012,0.8294228,0.7065208,2.015839,0.4019491,149.1409,0.2817323,0.3079208,24.443467,0.027,0.03839,0.04869,0.05868,0.06898,0.08035,0.09398,0.1124,0.1434,0.3281
"11","DZA","Algeria","MNA","N",1995,1995,"consumption",0,0,31.77229,36.3,190.9572,0.99999,0.99998,0.99997,1.974565,0.3533005,154.4681,0.2085176,0.3133712,28.757785,0.02872,0.04094,0.05222,0.06329,0.0748,0.08756,0.1029,0.1234,0.1573,0.2689
"12","DZA","Algeria","MNA","N",2011,2011.17,"consumption",0,0,31.77229,36.3,247.7322,0.9986764,0.7756821,0.6175508,1.627681,0.2761573,215.9956,0.1253313,0.2260456,36.661444,0.04046,0.05315,0.06358,0.07306,0.08239,0.09232,0.1039,0.119,0.1436,0.2286
"13","AGO","Angola","SSA","N",2000,2000.21,"consumption",0,1,73.83312,36.3,136.7125,0.992146,0.8809797,0.7962092,2.604521,0.5195689,86.47519,0.5125765,NA,16.395473,0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
"14","AGO","Angola","SSA","N",2008,2008.5,"consumption",0,1,73.83312,36.3,120.7577,0.9978737,0.8912038,0.8053907,2.525082,0.4271551,87.02627,0.3116315,NA,21.695634,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
"15","AGO","Angola","SSA","N",2018,2018.17,"consumption",0,1,73.83312,36.3,97.44291,0.9970055,0.9165879,0.8499554,2.907286,0.5127211,60.79884,0.4778896,NA,30.809762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ARG","Argentina","LAC","U",1980,1980,"income",0,0,2.768382,36.3,796.8967,0.7957062,0.4143157,0.2610669,0.7186515,0.4083086,609.356,0.2918472,0.3728986,23.122595,0.0201,0.03286,0.04493,0.05698,0.06969,0.08395,0.1012,0.1247,0.1638,0.3018
"17","ARG","Argentina","LAC","U",1986,1986,"income",0,0,2.768382,36.3,863.0112,0.7757939,0.3977201,0.2481779,0.6841379,0.4278756,635.2688,0.319819,0.3799595,26.23073,0.01951,0.03164,0.04318,0.05476,0.06704,0.08088,0.09776,0.1209,0.16,0.3243
"18","ARG","Argentina","LAC","U",1987,1987,"income",0,0,2.768382,36.3,788.8666,0.8111843,0.446447,0.2926959,0.8066961,0.4527689,557.7358,0.362684,0.4058292,26.769637,0.01725,0.02884,0.04012,0.05164,0.06403,0.07815,0.09553,0.1195,0.1607,0.3442
"19","ARG","Argentina","LAC","U",1991,1991,"income",0,1,2.768382,36.3,559.907,0.9030078,0.5785962,0.4142168,1.089806,0.4676174,370.9952,0.4350875,NA,28.887229,0.01744,0.03052,0.04059,0.05002,0.06059,0.07238,0.08891,0.1141,0.1594,0.3661
"20","ARG","Argentina","LAC","U",1992,1992,"income",0,1,2.768382,36.3,564.6129,0.8896402,0.564237,0.4022556,1.056506,0.4546809,387.9738,0.390243,NA,29.352243,0.016,0.03,0.0407,0.05124,0.06211,0.07652,0.09419,0.1206,0.1657,0.3429
